# spec: using-the-data.md
# sha256: 8075a18763dd227f42bb438806ab3d1c114f32cb71e1fccc519f36128a5ac595
# generated: 2026-09-03 (re-stamped after rename; rows from the 2026-09-02 review)
subject	kind	status	claim	section	anchor
enclosure	behavior		High enclosure hides from the sides but also blinds a radar and traps a helicopter.	Geometry of the site itself	High enclosure hides from the sides but also blinds a radar and traps a helicopter.
horizon bins	definition		horizon bins give horizon elevation per azimuth; a ridge in one bin masks that direction only.	Geometry of the site itself	| `horizon` bins | grid, `masked_from` |
horizon bins	definition		Horizon bins are the direction-aware version of enclosure.	Geometry of the site itself	This is the direction-aware version of enclosure.
dist grids	definition		dist_road, dist_rail, dist_water and dist_builtup are straight-line distances to the nearest road, railway, water and built-up area.	Geometry of the site itself	| `dist_road`, `dist_rail`, `dist_water`, `dist_builtup` | grids, `*_band` and `*_min` terms |
dist grids	definition		Road distance stands in for resupply plausibility and for how likely a ground patrol wanders past.	Geometry of the site itself	Road distance stands in for resupply plausibility
scenery counts	definition		scenery counts by class and clearing count buildings, industrial structures, walls and poles nearby.	Geometry of the site itself	| `scenery` counts by class, `clearing` | `scenery_max`, `scenery_in_footprint_max`, `clearing_max`, `scenery_in` |
clearing	dependency		For a FARP the objects inside 150 m are what DCS deletes when it spawns; for a building static they are what it sits inside.	Geometry of the site itself	For a FARP the objects inside 150 m are what DCS deletes when it spawns
visible	definition		visible is terrain line of sight between two points at stated altitudes.	Visibility between points	| `visible` | `visible` | Terrain line of sight between two points at stated altitudes.
visible	definition		True means the terrain does not block; sensor detection is a separate question of range and DCS's own model.	Visibility between points	True means the terrain does not block it; whether a sensor detects anything
clearance_m	definition		clearance_m is how much the sightline clears the highest terrain along it, negative when blocked.	Visibility between points	| `clearance_m` | `visible` |
clearance_m	constraint		Small positive values under 10 m are marginal; treat ±10 m as the edge of the horizon.	Visibility between points	Treat ±10 m as "edge of the horizon".
blocking	definition		blocking is where the terrain cuts the line, which names the ridge doing the work.	Visibility between points	| `blocking` | `visible` |
visible_fraction	definition		visible_fraction from viewshed is the share of ground within radius that an observer at a height sees.	Visibility between points	| `visible_fraction` | `viewshed` |
visible_fraction	constraint		From a hilltop at 2 m AGL 0.6 is commanding; on a plain 0.9+ is normal; in a valley 0.1 to 0.3.	Visibility between points	From a hilltop at 2 m AGL, 0.6 is commanding; on a plain, 0.9+ is normal
covered_fraction	definition		covered_fraction per band from coverage is the same idea from a weapon system's point of view per target altitude band.	Visibility between points	| `covered_fraction` per band | `coverage` |
covered_fraction	definition		A SAM's covered fraction at 100 m AGL is its low-level threat; at 3 000 m AGL it is nearly always 1.0 on a flat world.	Visibility between points	at 3 000 m AGL it is nearly always 1.0 on a flat world.
dead_zones	definition		dead_zones are polygons inside the engagement radius where the band is not seen; these are the routes in.	Visibility between points	| `dead_zones` | `coverage` |
dead_zones	definition		The count and size of dead zones is the "how many ways in" number.	Visibility between points	Their count and size are the "how many ways in" number.
asset_covered_fraction	definition		asset_covered_fraction is how much of the defended thing the site can see at each band.	Visibility between points	| `asset_covered_fraction` | `coverage` with `asset` |
asset_covered_fraction	definition		The difference from covered_fraction is whether the site is well placed or merely tall.	Visibility between points	`covered_fraction` is whether the site is well placed or merely tall.
blind_approach_exists	definition		blind_approach_exists is true when at least one radial stays masked from the engagement radius inward to min_masked_range.	Visibility between points	| `blind_approach_exists` | `coverage` |
blind_approach_exists	behavior		False means no terrain-masked way in at that altitude; only standoff, SEAD or altitude will do.	Visibility between points	false means there is no terrain-masked way in at that altitude
radials	definition		radials[].unmask_dist and blind give, per bearing, the range where a target first comes into view and whether the bearing stays masked to min_masked_range.	Visibility between points	| `radials[].unmask_dist`, `blind` | `approach_spectrum` |
radials	definition		The radials are the whole picture for a player who may come from anywhere: exposure as a function of direction.	Visibility between points	the site's exposure as a function of direction. |
blind_arc_fraction	definition		blind_arc_fraction, widest_blind_arc_deg and blind_arcs are the share of compass with a masked way in, the widest one, and where they are.	Visibility between points	| `blind_arc_fraction`, `widest_blind_arc_deg`, `blind_arcs` | `approach_spectrum` |
blind_arc_fraction	behavior		A 40° arc is found by looking at the map; a 5° arc is a trick that only a briefing reveals.	Visibility between points	A 40° arc is something a pilot finds by looking at the map
unmask_dist summary	definition		unmask_dist_min, _median and _max are the spread of unmask distances over all bearings.	Visibility between points	| `unmask_dist_min`, `_median`, `_max` | `approach_spectrum` |
unmask_dist summary	definition		Median is the average approach, min the sneakiest bearing, max the worst one; a large spread means direction matters.	Visibility between points	Median is what an average approach gets; min is the sneakiest bearing
sector_summary	definition		sector_summary restricts the same summaries to the bearings the player is likely to use, the arc facing their airbase.	Visibility between points	| `sector_summary` | `approach_spectrum` with `sector` |
first_seen	definition		first_seen and first_seen_dist_from_site are where along a route the site first gets line of sight and how far from the site that is.	Visibility between points	| `first_seen`, `first_seen_dist_from_site` | `unmask_profile` |
first_seen	constraint		20 km is "I saw it on the RWR and had time"; 4 km is "it was already shooting".	Visibility between points	20 km is "I saw it on the RWR and had time"
masked_segments	definition		masked_segments are route stretches below the site's horizon after the first unmask; their number is how forgiving the route is.	Visibility between points	| `masked_segments` | `unmask_profile` |
route length	definition		length, straight_line and per-leg length are planar road distance between snapped endpoints and the endpoint distance for comparison.	Visibility between points	| `length`, `straight_line`, per-leg `length` | `route` |
route length	dependency		The probe log measured 23 257 m for Kutaisi city to airfield from DCS's own router.	Visibility between points	(probe log: 23 257 m for Kutaisi city to airfield)
detour	definition		length / straight_line is the detour: 1.1 is a direct road, 2 is a valley or river forcing a long way round.	Visibility between points	`length / straight_line` is the detour: 1.1 is a direct road, 2 is a valley
road speed	dependency		DCS ground groups move at 50 to 70 km/h on roads, so 23 km is 20 to 30 minutes.	Visibility between points	DCS ground groups move at 50 to 70 km/h on roads, so 23 km is 20 to 30 minutes.
ascent	definition		ascent, descent and max_grade_pct are cumulative climb and descent from the height grid and the steepest 100 m.	Visibility between points	| `ascent`, `descent`, `max_grade_pct` | `route` |
ascent	dependency		DCS slows ground groups on grades, so ascent widens the arrival window rather than assuming a flat speed.	Visibility between points	DCS slows ground groups on grades, so use ascent to widen the arrival window
stretch	definition		stretch, overlap_with and shared_edges_with_all give how much longer each alternative is, its overlap with each other, and the forced edges.	Visibility between points	| `stretch`, `overlap_with`, `shared_edges_with_all` | `route_alternatives` |
stretch	definition		Stretch is the price of variety; shared edges are where a player can wait whichever route is taken.	Visibility between points	Stretch is the price of variety; shared edges are where a player can wait
exposure	definition		exposure per leg is the fraction of each leg that any observer sees.	Visibility between points	| `exposure` per leg | `route` |
exposure	behavior		Sum length × exposure for total exposed metres; a convoy is ambushable on exposed legs and safe on masked ones.	Visibility between points	Sum length × exposure for total exposed metres
betweenness	definition		betweenness is how many shortest paths use an edge.	Network metrics	| `betweenness` | `chokepoints`, `road_edge` |
betweenness	definition		High values with crosses_water = 1 are bridges; high values with negative tpi_300 are defiles; cutting one reroutes traffic far.	Network metrics	High values with `crosses_water = 1` are bridges
reachable	definition		reachable and blocking from trafficability say whether a ground group reaches a point from the nearest road without exceeding a slope or crossing water, and where it fails.	Network metrics	| `reachable`, `blocking` | `trafficability` |
band tables	definition		Everything in Turning metrics into difficulty is guidance for a campaign author.	Turning metrics into difficulty	Everything in this section is guidance for a campaign author. The band
band tables	dependency	UNVERIFIED	The band tables are initial values, reasoned from the live Caucasus examples and untested against sorties.	Turning metrics into difficulty	tables are initial values, reasoned from the live Caucasus examples and
band tables	constraint		Nothing in the repository encodes the band tables; a campaign that adopts them owns them.	Turning metrics into difficulty	untested against sorties; nothing in the repository encodes them, and a
difficulty	definition		Difficulty is a property of the pairing of a site with the way the player approaches it.	Turning metrics into difficulty	Difficulty is a property of the pairing of a site with the way the
prescribed route	behavior		When the mission prescribes a route, unmask_profile on that route is the measure.	Turning metrics into difficulty	`unmask_profile` on that route is the measure. When the player is free
free approach	behavior		When the player is free to come from any direction, the normal campaign case, the measure is approach_spectrum.	Turning metrics into difficulty	measure is `approach_spectrum`: the site's exposure as a function of
prescribed route	definition		The prescribed-route case is the spectrum read at one bearing.	Turning metrics into difficulty	clock. The prescribed-route case is the spectrum read at one bearing.
free approach	behavior		Free choice is not uniform; most approaches fall inside the 90° or so facing the player's base.	Turning metrics into difficulty	and most approaches fall inside the 90° or so facing their base. So
sector	behavior		Compute the spectrum over all 360° and sector_summary over the arc from the player's origin, the bearing to their airbase or FARP ±45°.	Turning metrics into difficulty	bearing from the site to their airbase or FARP, ±45°) for the practical
sector	behavior		A site whose only blind arc faces away from the player's base is hard in practice even if medium on paper.	Turning metrics into difficulty	one. A site whose only blind arc faces away from the player's base is
sector	behavior		A site whose blind arc faces the base is easier than its full-circle numbers say.	Turning metrics into difficulty	faces the base is easier than its full-circle numbers say.
recipe	behavior		Step 1 runs find_sites with the hard constraints only and takes the top 50, not the top 5.	Turning metrics into difficulty	1. Run `find_sites` with the hard constraints only (surface, slope,
recipe	behavior		Step 2 runs approach_spectrum per candidate at the player's altitude bands and the defending weapon's radius with sector from the player's origin.	Turning metrics into difficulty	2. For each candidate run `approach_spectrum` at the altitude bands the
recipe	behavior		Step 2 adds coverage with the asset when there is one and viewshed at the player's likely release point.	Turning metrics into difficulty	asset when there is one to defend, and `viewshed` at the player's
recipe	behavior		Step 3 classifies each candidate into a band with the thresholds.	Turning metrics into difficulty	3. Classify each candidate into a band with the thresholds below.
recipe	behavior		Step 4 draws at random from the band matching the player's rating, never the best in band.	Turning metrics into difficulty	4. Draw from the band matching the player's rating, at random. Never
recipe	behavior		Step 5 keeps the metric vector with the placed object so a debrief can explain the outcome.	Turning metrics into difficulty	5. Record why: keep the metric vector with the placed object, so a
player rating	behavior		Player rating starts at medium, moves up one band after a clean success and down one after a loss.	Turning metrics into difficulty	Player rating moves the band. A simple scheme: start at medium; after a
player rating	constraint		Unfair is never entered automatically, only by explicit mission design such as a set-piece with SEAD or a wingman.	Turning metrics into difficulty	unfair automatically, only by explicit mission design (a set-piece that
sam fixed-wing metrics	definition		Metrics come from approach_spectrum at the ingress altitudes the player may use, say 60, 200 and 1 500 m AGL.	SAM against a fixed-wing strike, free approach	Metrics from `approach_spectrum` at the ingress altitudes the player
sam fixed-wing metrics	definition		radius is the SAM's engagement range, min_masked_range the player's weapon standoff, sector the player's origin arc.	SAM against a fixed-wing strike, free approach	range, `min_masked_range` = the player's weapon standoff, `sector` =
sam fixed-wing metrics	definition		The dead_zones count comes from coverage at 100 m AGL.	SAM against a fixed-wing strike, free approach	the player's origin arc; plus `dead_zones` count from `coverage` at
sam fixed-wing band	constraint		Easy: blind arc fraction ≥ 0.4 at 200 m AGL, widest arc ≥ 40°, blind arc in sector at 200 m AGL, median unmask ≥ 15 km.	SAM against a fixed-wing strike, free approach	| easy | ≥ 0.4 at 200 m AGL | ≥ 40° |
sam fixed-wing band	constraint		Medium: blind arc fraction 0.15 to 0.4 at 200 m AGL, widest 15° to 40°, in sector at ≤ 200 m AGL, median 6 to 15 km, lowest band ≥ 4 km.	SAM against a fixed-wing strike, free approach	| medium | 0.15 to 0.4 at 200 m AGL |
sam fixed-wing band	constraint		Hard: blind arc fraction 0.05 to 0.15 at 60 m AGL only, widest 5° to 15°, in sector only at 60 m or a ≥ 15° arc elsewhere, median 2 to 6 km, lowest ≥ 2 km.	SAM against a fixed-wing strike, free approach	| hard | 0.05 to 0.15 at 60 m AGL only |
sam fixed-wing band	constraint		Unfair: blind arc fraction 0 at every allowed band, widest 0°, none in sector, median unmask < 2 km.	SAM against a fixed-wing strike, free approach	| unfair | 0 at every allowed band | 0° | no | < 2 km |
sam fixed-wing band	definition		Easy means terrain hides the approach from a good share of directions and the player can find one without help.	SAM against a fixed-wing strike, free approach	Reading the table: easy means terrain hides the approach from a good
sam fixed-wing band	definition		Medium means the masked approaches are few and low but at least one faces the player.	SAM against a fixed-wing strike, free approach	means the masked approaches are few and low, but at least one faces the
sam fixed-wing band	definition		Hard means the site is nearly all-round exposed except a narrow low-level slot, or the slot is on the far side.	SAM against a fixed-wing strike, free approach	player; hard means the site is nearly all-round exposed except for a
sam fixed-wing band	definition		Unfair means there is no terrain solution and the mission must supply SEAD, standoff or a decoy.	SAM against a fixed-wing strike, free approach	to route around; unfair means there is no terrain solution and the
rioni plain	dependency		On the Rioni plain nearly every site is unfair against a low-level attack.	SAM against a fixed-wing strike, free approach	plain nearly every site is unfair against a low-level attack, which is
rioni plain	dependency		In the live SAM example the one site with a full western blind arc was the only medium site in 20 km.	SAM against a fixed-wing strike, free approach	site with a full western blind arc was the only medium site in 20 km.
unmask spread	behavior		The spread of unmask distances matters as much as the median.	SAM against a fixed-wing strike, free approach	The spread matters as much as the median. Two sites with median unmask
unmask spread	behavior		A site with min 1 km and max 20 km rewards map study; one with min 7 and max 9 km plays the same from everywhere.	SAM against a fixed-wing strike, free approach	9 km: the first rewards map study and punishes a careless heading; the
unmask spread	behavior		Give the wide-spread site to a player who reads briefings and the narrow one to a player who wants a straight fight.	SAM against a fixed-wing strike, free approach	second plays the same from everywhere. Give the first to a player who
helicopter attack	definition		Helicopters fly the terrain and pop up rather than corridors at altitude, so the useful quantities differ.	SAM or AAA against a helicopter attack	Helicopters do not fly corridors at altitude; they fly the terrain and
helicopter attack	definition		All helicopter quantities come from the same operations run at helicopter altitudes.	SAM or AAA against a helicopter attack	from the same operations run at helicopter altitudes.
masked approach arcs	definition		Masked approach arcs come from approach_spectrum on the threat at 15, 30 and 60 m AGL.	SAM or AAA against a helicopter attack	- **Masked approach arcs at 15, 30 and 60 m AGL**: `approach_spectrum`
masked approach arcs	definition		alt_bands_agl is [15, 30, 60], radius the threat's engagement range, min_masked_range the helicopter's weapon range.	SAM or AAA against a helicopter attack	on the threat with `alt_bands_agl = [15, 30, 60]`, `radius` = the
masked approach arcs	definition		blind_arc_fraction at 30 m AGL is the solvability number for an Apache or Ka-50; at 15 m for a Huey or Gazelle with rockets.	SAM or AAA against a helicopter attack	weapon range. `blind_arc_fraction` at 30 m AGL is the solvability
masked approach arcs	definition		widest_blind_arc_deg says whether the way in is obvious; sector_summary from the FARP's bearing says whether it is on the player's side.	SAM or AAA against a helicopter attack	the number for a Huey or Gazelle with rockets. `widest_blind_arc_deg`
pop-up positions	definition		Pop-up positions are find_sites cells around the target hidden from the threat at 5 m AGL and seeing the target at 30 m AGL.	SAM or AAA against a helicopter attack	- **Pop-up positions**: `find_sites` around the target with
pop-up positions	definition		The hidden test is not_visible_from(observers = [threat at its mast height], max_fraction = 0, own_alt_agl = 5).	SAM or AAA against a helicopter attack	`not_visible_from(observers = [threat at its mast height],
pop-up positions	definition		The seeing test is visible_to(targets = [target], min_fraction = 1, own_alt_agl = 30).	SAM or AAA against a helicopter attack	max_fraction = 0, own_alt_agl = 5)` and `visible_to(targets =
pop-up positions	behavior		Count pop-up cells inside weapon range; their number is how many shots the player gets before running out of positions.	SAM or AAA against a helicopter attack	them inside weapon range; their number is how many shots the player
pop-up margin	definition		Pop-up margin is visible from the threat to the cell at 30 m AGL; a seen pop-up is a duel, an unseen one a free shot.	SAM or AAA against a helicopter attack	- **Pop-up margin**: at each pop-up position, `visible` from the threat
free shots	definition		The fraction of free shots among pop-up positions is the second difficulty number.	SAM or AAA against a helicopter attack	position is a duel; if not, it is a free shot. The fraction of free
egress	definition		Egress is the nearest cell masked from the threat at 5 m AGL, from a viewshed from the threat at target_alt_agl = 5.	SAM or AAA against a helicopter attack	- **Egress**: from the pop-up position, the nearest cell masked from the
egress	constraint		Under 300 m means one dash; over 1 km means a long exposed run.	SAM or AAA against a helicopter attack	take the nearest unseen cell). Under 300 m means one dash; over 1 km
lz quality	constraint		LZ or FARP quality for insertions requires span ≤ 1 m, slope ≤ 5°, scenery_in_footprint_max = 0 and clearing count within 60 m = 0.	SAM or AAA against a helicopter attack	- **LZ or FARP quality**, for insertions: `span` ≤ 1 m, `slope` ≤ 5°,
lz quality	constraint		LZ quality also requires not_visible_from(threats, own_alt_agl = 5).	SAM or AAA against a helicopter attack	and `not_visible_from(threats, own_alt_agl = 5)`.
helicopter band	constraint		Easy: blind arc fraction ≥ 0.3 at 60 m AGL with widest ≥ 40°, ≥ 6 pop-up positions, free shots ≥ 0.7, egress ≤ 300 m.	SAM or AAA against a helicopter attack	| easy | ≥ 0.3 at 60 m AGL, widest ≥ 40° |
helicopter band	constraint		Medium: blind arc fraction ≥ 0.15 at 30 m AGL with widest ≥ 15°, 3 to 5 pop-up positions, free shots 0.4 to 0.7, egress ≤ 600 m.	SAM or AAA against a helicopter attack	| medium | ≥ 0.15 at 30 m AGL, widest ≥ 15° |
helicopter band	constraint		Hard: blind arc fraction > 0 at 15 m AGL only or widest < 15°, 1 to 2 pop-up positions, free shots < 0.4, egress ≤ 1 km.	SAM or AAA against a helicopter attack	| hard | > 0 at 15 m AGL only, or widest < 15° |
helicopter band	constraint		Unfair: blind arc fraction 0 at ≤ 30 m AGL and 0 pop-up positions.	SAM or AAA against a helicopter attack	| unfair | 0 at ≤ 30 m AGL | 0 | — | — |
helicopter worked example	dependency		SAM site 1 (−293887, 682059) on the Rioni plain is masked from the west at 10 km by a 108 m rise 2 km away and from the south-west by a 369 m ridge at 6 km.	SAM or AAA against a helicopter attack	example's site 1 (−293887, 682059) on the Rioni plain is masked from the
helicopter worked example	behavior		Its spectrum at 15 m AGL has one blind arc, roughly 225° to 315°, so blind_arc_fraction is about 0.25 and the widest arc about 90°.	SAM or AAA against a helicopter attack	blind arc, roughly 225° to 315°, so `blind_arc_fraction` is about 0.25
helicopter worked example	behavior		From Kutaisi airfield to the north-east the blind arc is on the far side, so sector_summary shows no blind arc and the player swings around.	SAM or AAA against a helicopter attack	airfield (which lies to the north-east, so the blind arc is on the far
helicopter worked example	behavior		coverage at 15 m AGL from that site has a dead zone behind the rise.	SAM or AAA against a helicopter attack	player has to swing around), `coverage` at 15 m AGL from that site has a
helicopter worked example	behavior		find_sites in the 3 km rocket ring finds cells on the far slope of the rise, hidden at 5 m and seeing the site at 30 m.	SAM or AAA against a helicopter attack	dead zone behind the rise; `find_sites` in the 3 km rocket ring
helicopter worked example	behavior		The free-shot fraction there is high because the site is on the flat and the rise is between.	SAM or AAA against a helicopter attack	there is high because the site is on the flat and the rise is between.
helicopter worked example	behavior		That site is medium for a Huey with rockets and easy for an Apache with Hellfire from 6 km.	SAM or AAA against a helicopter attack	That is a medium site for a Huey with rockets and an easy one for an
helicopter worked example	behavior		Moving the SAM 2 km west onto the rise makes the pop-up cells vanish: hard for the Apache, unfair for the Huey.	SAM or AAA against a helicopter attack	itself and the pop-up cells vanish: hard for the Apache, unfair for the
helicopter worked example	behavior		At 15 m AGL nothing within 3 km is masked from a site on the high ground.	SAM or AAA against a helicopter attack	Huey, because at 15 m AGL nothing within 3 km is masked from a site on
ground exposure	definition		Ground exposure is the fraction of road cells within 3 km with LOS at 2 m AGL.	Hidden target for a search	Metrics: ground exposure (fraction of road cells within 3 km with LOS at
air exposure	definition		Air exposure is the fraction of a 1 km lattice at the search altitude with LOS.	Hidden target for a search	2 m AGL) and air exposure (fraction of a 1 km lattice at the search
hidden target metrics	definition		Exposures come from not_visible_from terms or a viewshed from the target; building count within 150 m comes from scenery_in.	Hidden target for a search	the target; building count within 150 m from `scenery_in`.
hidden target band	constraint		Easy: ground exposure ≥ 0.5, air exposure at 500 m AGL ≥ 0.6, 0 to 2 buildings in 150 m.	Hidden target for a search	| easy | ≥ 0.5 | ≥ 0.6 | 0 to 2 (stands alone) |
hidden target band	constraint		Medium: ground exposure 0.2 to 0.5, air exposure 0.3 to 0.6, 3 to 15 buildings in 150 m.	Hidden target for a search	| medium | 0.2 to 0.5 | 0.3 to 0.6 | 3 to 15 |
hidden target band	constraint		Hard: ground exposure < 0.2, air exposure 0.1 to 0.3, ≥ 15 buildings in 150 m.	Hidden target for a search	| hard | < 0.2 | 0.1 to 0.3 | ≥ 15 (one building among many) |
hidden target band	constraint		Unfair: ground exposure < 0.05 and air exposure < 0.1.	Hidden target for a search	| unfair | < 0.05 | < 0.1 | — |
air exposure	behavior		Air exposure below 0.1 at the search altitude means the target sits in a hole the player cannot see into without overflying it.	Hidden target for a search	Air exposure below 0.1 at the search altitude means the target sits in
air exposure	behavior		Paired with a MANPADS such a hole is unfair; paired with an intelligence marker it is a puzzle.	Hidden target for a search	a MANPADS and it is unfair, pair it with an intelligence marker and it
convoy metrics	definition		Metrics are total exposed metres from route legs against the player's likely orbit, chokepoints along the route, and masked_segments from the player's perspective.	Convoy for an interdiction	Metrics: total exposed metres from `route` legs against the player's
convoy metrics	behavior		Run unmask_profile with the player's orbit as the site and the convoy route at 2 m AGL.	Convoy for an interdiction	player's orbit as the site and the convoy route at 2 m AGL).
convoy band	constraint		Easy: exposed fraction ≥ 0.6, ≥ 2 bridges or defiles on route, longest masked stretch < 2 km.	Convoy for an interdiction	| easy | ≥ 0.6 | ≥ 2 bridges or defiles | < 2 km |
convoy band	constraint		Medium: exposed fraction 0.3 to 0.6, 1 chokepoint, longest masked stretch 2 to 5 km.	Convoy for an interdiction	| medium | 0.3 to 0.6 | 1 | 2 to 5 km |
convoy band	constraint		Hard: exposed fraction < 0.3, 0 chokepoints, longest masked stretch > 5 km.	Convoy for an interdiction	| hard | < 0.3 | 0 | > 5 km |
convoy band	constraint		Unfair: exposed fraction < 0.1, 0 chokepoints, route entirely in a gorge.	Convoy for an interdiction	| unfair | < 0.1 | 0 | route entirely in a gorge |
recurring convoy	behavior		A supply run that always takes the shortest road is a fixed target after the player has seen it once.	A recurring convoy that should not be predictable	A supply run from depot to base that always takes the shortest road is
route_alternatives	definition		route_alternatives returns k routes differing by at least 1 − max_overlap of their length and no more than max_stretch longer than the shortest.	A recurring convoy that should not be predictable	returns `k` routes that differ from each other by at least
route_alternatives	definition		Each alternative carries the same per-leg exposure and chokepoint data as a single route, plus shared_edges_with_all.	A recurring convoy that should not be predictable	longer than the shortest, each with the same per-leg exposure and
route rotation	behavior		Keep the alternative set with the movement in the campaign overlay and pick a route at each departure, weighted random, never the same twice running.	A recurring convoy that should not be predictable	- **Plan once, rotate per departure.** Keep the alternative set with
route rotation	behavior		Re-plan when a bridge is destroyed, a threat appears inside a route's box, or the overlay changes.	A recurring convoy that should not be predictable	Re-plan when a bridge is destroyed, a threat appears inside a route's
route weighting	behavior		Weight by difficulty: an easy setting draws mostly the exposed route and a hard setting the masked ones.	A recurring convoy that should not be predictable	- **Weight by difficulty, not uniformly.** Each alternative has its own
route weighting	behavior		Rotation makes a hard setting fair because a player who studied one route is not wrong, just early.	A recurring convoy that should not be predictable	hard setting fair, because a player who studied one route is not
shared_edges_with_all	behavior		If all alternatives cross one bridge, the bridge is where the interdiction happens regardless of rotation.	A recurring convoy that should not be predictable	- **`shared_edges_with_all` is the mission.** If all alternatives cross
shared_edges_with_all	behavior		Report shared edges in the planning output so a designer accepts the chokepoint or adds a ford or second bridge.	A recurring convoy that should not be predictable	accepts it as the intended chokepoint, or adds a ford or a second
stretch	behavior		Each alternative carries its own length, ascent and max_grade_pct, so the arrival window is computed; a 1.5× route takes 1.5× as long on the flat.	A recurring convoy that should not be predictable	- **Stretch is time.** Each alternative carries its own `length`,
max_stretch	constraint		If supplies are needed at a fixed time, cap max_stretch at 1.2 and accept fewer alternatives.	A recurring convoy that should not be predictable	supplies at a fixed time, cap `max_stretch` at 1.2 and accept fewer
overlap	behavior		Two routes sharing 40 % of their length share the exposed legs on that 40 %; an ambush on the shared part catches both.	A recurring convoy that should not be predictable	- **Overlap is the tell.** Two routes that share 40 % of their length
overlap	behavior		The campaign can make the shared segment the higher-exposure one or choose a k whose routes share only the depot and the base.	A recurring convoy that should not be predictable	segment the higher-exposure one, or punish it by choosing a `k` whose
one rule	behavior		Which route to draw is a campaign decision; the file supplies the set and the numbers to weight it.	A recurring convoy that should not be predictable	Which to draw is a campaign decision; the file supplies the set and the
route rotation	constraint		Rotation among three routes with 20 % to 40 % overlap and stretch under 1.3 is a good default for a supply line.	A recurring convoy that should not be predictable	numbers to weight it. Rotation among three routes with 20 % to 40 %
friendly farp	definition		For a friendly FARP, difficulty is about the campaign's logistics rather than the player's danger.	FARP or forward base for the player's own side	Here "difficulty" is about the campaign's logistics rather than the
friendly farp	behavior		Rank by terms and pick by policy: dist_airdrome_band with airdrome_id set to the friendly airfield, distance to the enemy line as a custom box, low ground exposure.	FARP or forward base for the player's own side	(`dist_airdrome_band` with `airdrome_id` set to the friendly airfield,
clearing	definition		clearing count is the price in destroyed civilian buildings the campaign is willing to pay.	FARP or forward base for the player's own side	`clearing` count as the price in destroyed civilian buildings the
